index,type,question_id,title,description,question_type,analytics_event,content_key,customization_key,answer_count,answers
"0","INFO_PAGE","","Pilates for beginners | 150 million people","","","/150_million_people","","","",""
"1","QUESTION","13016","What is your main goal?","","single_select","/goal","goalType","goal","5","Lose weight | Increase muscle strength | Develop flexibility | Reduce stress & worry | Improve posture"
"2","QUESTION","13017","How would you describe your physical build?","","single_select","/physical_build","","","4","Slim | Mid-sized | Plus-sized | Significantly overweight"
"3","QUESTION","13018","What is your “dream body”?","","single_select","/dream_body","","","4","Thin | Toned | Curvy | Average"
"4","QUESTION","13019","How does your weight typically change?","","single_select","/weight_change_patterns","","body_type","3","I struggle to gain weight or muscle | I gain and lose weight easily | I gain weight fast but lose it slowly"
"5","INFO_PAGE","","Lose weight easily with Pilates for beginners - Pilates for beginners","","","/info_page_pilates_beginners_1","","","",""
"6","QUESTION","13020","How long ago were you in the best shape of your life?","","single_select","/best_shape_of_your_life","","","4","Less than a year ago | 1 to 2 years ago | More than 3 years ago | Never"
"7","QUESTION","13021","Have you tried Pilates workouts before?","","single_select","/tried_wall_pilates","","level","3","I'm just starting out | I have some experience | I am proficient"
"8","QUESTION","13023","What are your target zones?","Choose all that apply","multi_select","/target_zones","bodyZones","","4","Belly | Butt | Legs | Chest"
"9","INFO_PAGE","","Burn belly fat and tone your whole body - Pilates for beginners","","","/info_page_pilates_beginners_2","","","",""
"10","QUESTION","13024","How flexible are you?","","single_select","/flexible","","","4","Pretty flexible | Just getting started | Not that good | Not sure"
"11","QUESTION","13025","Do you lose breath when taking the stairs?","","single_select","/out_of breath_after_stairs","","","4","I'm so out of breath I can't talk | I'm slightly out of breath but can talk | I'm OK after one flight of stairs | I can handle a few flights of stairs"
"12","QUESTION","13026","Do you struggle with any of the following?","Choose all that apply","multi_select","/struggle_with_any","physicalLimitations","","3","Sensitive back | Sensitive knees | None of the above"
"13","INFO_PAGE","","Relieve body tension after a long day - Pilates for beginners","","","/info_page_pilates_beginners_3","","","",""
"14","QUESTION","13027","How often do you exercise?","","single_select","/often_exercise","fitnessLevel","fitness_level","4","Almost every day | Several times per week | Several times per month | Never"
"15","QUESTION","13028","How often do you go for walks?","","single_select","/often_go_walks","","","4","Almost every day | 3-4 times per week | 1-2 times per week | More like once a month"
"16","QUESTION","13029","What is your work schedule like?","","single_select","/work_schedule_like","","","4","9 to 5 | Night shifts | My hours are flexible | I'm retired/not working right now"
"17","QUESTION","13030","How would you describe your typical day?","","single_select","/typical day","","lifestyle","3","I spend most of the day sitting | I take active breaks | I’m on my feet all day long"
"18","QUESTION","13031","How are your energy levels during the day?","","single_select","/energy_level","","energy_level","4","High and steady | Dragging before meals | Post lunch slump | Low, I feel tired throughout the day"
"19","QUESTION","13032","How much water do you drink daily?","","single_select","/drink_daily","","","4","I only have coffee or tea | About 2 glasses (16 oz) | 2 to 6 glasses (16-48 oz) | More than  6 glasses"
"20","QUESTION","13033","How much sleep do you usually get?","","single_select","/sleep_usually_get","","sleep_hours","4","Less than 5 hours | 5-6 hours | 7-8 hours | More than 8 hours"
"21","QUESTION","13034","When do you usually have breakfast?","","single_select","/breakfast","","","4","Between 6 and 8 am | Between  8 and 10 am | Between 10 am and noon | I usually skip breakfast"
"22","QUESTION","13035","How about lunch?","","single_select","/lunch","","","4","Between 10 am and noon | Between noon and 2 pm | Between 2 and  4 pm | I usually skip lunch"
"23","QUESTION","13036","What time do you have dinner?","","single_select","/dinner","","","4","Between 4 and 6 pm | Between 6 and 8 pm | Between 8 and 10 pm | I usually skip dinner"
"24","QUESTION","13037","What type of diet do you prefer?","","single_select","/diet_type","dietId","meals","10","Traditional | Keto | Paleo | Vegetarian | Vegan (Plant Diet) | Keto Vegan | Mediterranean | Pescatarian | Lactose Free | Gluten Free"
"25","QUESTION","13074","Do you have any of the following bad habits?","Choose all that apply","multi_select","/your_bad_habits","","","5","I eat late at night | I can't quit sugar | I can't live without soda | I eat too much salt | None of the above"
"26","QUESTION","13039","Have any of the following life events led to weight gain in the last few years?","Choose all that apply","multi_select","/life_events","","","6","Marriage or relationship | Busy work or family life | Financial struggles | High stress or worry | Slower metabolism due to aging | None of the above"
"27","QUESTION","9651","How tall are you?","","input","/height","heightCm","","0",""
"28","QUESTION","9652","What’s your current weight?","","input","/current_weight","currentWeightKg","","0",""
"29","QUESTION","9653","Got it! And what's your goal weight?","","input","/goal_weight","targetWeightKg","","0",""
"30","QUESTION","9654","What is your age?","","input","/age","age","","0",""
"31","INFO_PAGE","","Pilates for beginners | BMI","","","/fasteasy_female_young_bmi","","","",""
"32","QUESTION","13040","Do you have an important event coming up?","Having something to look forward to can be a great motivator for [b|reaching your goal]","single_select","/important_event","","upcoming_event","8","Vacation | Wedding | Holiday | Sporting event | Reunion | Birthday | Other | No events any time soon"
"33","INFO_PAGE","","Redesign Calendar","","","/calendar","","","",""
"34","INFO_PAGE","","Redesign graph","","","/expected_result_graph","","","",""
"35","LOADER","","Pilates for Beginners","","","/loader_reviews","","","",""
